,factors,cv_score,cv_score_std
1364,"['bulk_modulus_bcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-214.6079365682686,273.47987580445334
2708,"['c44_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-214.67562301332657,263.0717295977986
735,"['lattice_constant_fcc', 'bulk_modulus_sc', 'vacancy_migration_energy_fcc']",-214.76918011893747,265.43072659700704
373,"['lattice_constant_bcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",-215.12092036895038,274.2096466264101
2105,"['c11_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-215.32769293399153,288.7114956777306
2653,"['c44_bcc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",-215.46270237629545,289.1422739450754
772,"['lattice_constant_fcc', 'c11_fcc', 'vacancy_migration_energy_fcc']",-215.56109401556756,287.0199790315613
2112,"['c11_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-215.5745373525507,288.18293632122317
754,"['lattice_constant_fcc', 'c11_bcc', 'vacancy_migration_energy_fcc']",-215.59355423572944,268.4120967797948
2947,"['relaxed_formation_potential_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-215.72126734265333,274.6930753234693
1794,"['bulk_modulus_sc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-215.99430137172803,278.1982941427899
2127,"['c11_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-216.20825894548497,279.5831992892758
2718,"['c44_fcc', 'unstable_stack_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-216.46460139653828,259.8283338557856
1935,"['c11_bcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-216.54108949991627,274.2036915391641
2449,"['c12_fcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-216.78925103831975,276.3278982557498
478,"['lattice_constant_bcc', 'c11_bcc', 'vacancy_migration_energy_fcc']",-216.8753101204981,270.0274464210905
579,"['lattice_constant_bcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-217.15284892070918,264.7301193634424
2710,"['c44_fcc', 'extr_stack_fault_energy_fcc', 'unstable_stack_energy_fcc']",-217.2103306027633,269.9550961657098
