,factors,r2_cv_score,rmse_cv_score
4242,"['surface_energy_100_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'unstable_twinning_energy_fcc']",0.8211406534799726,-218.84437530045636
563,"['c44_fcc', 'bulk_modulus_bcc', 'unstable_twinning_energy_fcc']",0.8202678651539401,-227.41284461380957
2357,"['lattice_constant_fcc', 'c44_bcc', 'unstable_twinning_energy_fcc']",0.8198179211032419,-221.1791606856863
3009,"['vacancy_migration_energy_fcc', 'c12_fcc', 'extr_stack_fault_energy_fcc']",0.8197275076643438,-226.48726256084916
2623,"['unstable_stack_energy_fcc', 'lattice_constant_diamond', 'c12_bcc']",0.8196892056163376,-227.12085990267784
4473,"['unstable_twinning_energy_fcc', 'lattice_constant_bcc', 'relaxed_formation_potential_energy_fcc']",0.8196814736725285,-230.5915831548004
3164,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'intr_stack_fault_energy_fcc']",0.8196730199827624,-227.59072232165784
4134,"['extr_stack_fault_energy_fcc', 'unstable_twinning_energy_fcc', 'c11_fcc']",0.8193043115059175,-225.04213945857202
1347,"['c44_sc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",0.8190552909040208,-228.13265390422129
3181,"['vacancy_migration_energy_fcc', 'c11_fcc', 'bulk_modulus_sc']",0.8190537610987306,-227.27017613705434
3021,"['vacancy_migration_energy_fcc', 'c12_fcc', 'intr_stack_fault_energy_fcc']",0.8188397751625673,-224.40869499151398
603,"['c44_fcc', 'unstable_stack_energy_fcc', 'extr_stack_fault_energy_fcc']",0.8187330445034301,-225.11030195800984
3124,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.8185861121444021,-226.5841196229365
2985,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'c12_fcc']",0.8185516012593317,-222.506198314561
660,"['c44_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_fcc']",0.8183547775637066,-219.02978052421466
2693,"['unstable_stack_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'c11_fcc']",0.8181496593476748,-221.35776879395496
2272,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",0.8181211339185528,-225.17889283642907
2616,"['unstable_stack_energy_fcc', 'c44_bcc', 'relaxed_formation_potential_energy_fcc']",0.8180606580102986,-220.21973364936147
785,"['c44_fcc', 'c11_bcc', 'unstable_twinning_energy_fcc']",0.8179577625091699,-234.92600449893519
605,"['c44_fcc', 'unstable_stack_energy_fcc', 'surface_energy_100_fcc']",0.8179434844356024,-228.67024406582968
1026,"['c12_sc', 'vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8179018990711758,-223.31805813267948
469,"['c44_fcc', 'c12_sc', 'unstable_stack_energy_fcc']",0.8178019281473224,-225.46286980170623
995,"['c12_sc', 'unstable_stack_energy_fcc', 'bulk_modulus_fcc']",0.8177639913943493,-218.8368732511909
3011,"['vacancy_migration_energy_fcc', 'c12_fcc', 'surface_energy_100_fcc']",0.81772354082662,-222.8009880263259
3188,"['vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'bulk_modulus_fcc']",0.817233961806636,-227.10386139938683
1659,"['unstable_twinning_energy_slip_fraction_fcc', 'unstable_stack_energy_fcc', 'surface_energy_100_fcc']",0.817126581134185,-220.19046670845148
242,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc']",0.8168714719004262,-221.98737850483366
2235,"['lattice_constant_fcc', 'unstable_stack_energy_fcc', 'surface_energy_100_fcc']",0.816567513428901,-228.71340736126146
3818,"['c44_bcc', 'unstable_twinning_energy_fcc', 'c11_fcc']",0.8165388367780728,-221.2111124812614
4165,"['c11_bcc', 'surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",0.8164190250970167,-222.10182247297377
2287,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_sc']",0.8163334671936988,-209.86866383674518
471,"['c44_fcc', 'c12_sc', 'vacancy_migration_energy_fcc']",0.8162933810636329,-220.65721521485034
2737,"['unstable_stack_energy_fcc', 'lattice_constant_bcc', 'relaxed_formation_potential_energy_fcc']",0.8162665445914422,-226.4645727068069
3166,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'bulk_modulus_fcc']",0.81615857671343,-223.97785938756107
847,"['c44_fcc', 'unstable_twinning_energy_fcc', 'intr_stack_fault_energy_fcc']",0.8161519518410064,-230.20081382993337
3184,"['vacancy_migration_energy_fcc', 'c11_fcc', 'bulk_modulus_fcc']",0.8156467306527834,-224.95344986731388
4377,"['c12_bcc', 'unstable_twinning_energy_fcc', 'lattice_constant_bcc']",0.8155736424428552,-233.8311159188637
3125,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'bulk_modulus_sc']",0.8154378132647006,-224.19410804322797
3081,"['vacancy_migration_energy_fcc', 'c11_sc', 'ideal_surface_energy_100_fcc']",0.8153873392492273,-227.6689756639697
2993,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'unstable_stack_energy_slip_fraction_fcc']",0.8152177755411029,-222.7857799889903
990,"['c12_sc', 'unstable_stack_energy_fcc', 'c11_fcc']",0.8151564630670058,-226.6955193822274
606,"['c44_fcc', 'unstable_stack_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",0.8151061038277522,-224.48748763568835
246,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8148495209464854,-226.9380376572955
3023,"['vacancy_migration_energy_fcc', 'c12_fcc', 'bulk_modulus_fcc']",0.8147257587956755,-216.70875857105474
2228,"['lattice_constant_fcc', 'unstable_stack_energy_fcc', 'c12_fcc']",0.8146928067026917,-231.3769368978359
