,factors,r2_cv_score,rmse_cv_score
3455,"['lattice_constant_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7261873799207705,-309.26303188570404
1209,"['unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7258850471129832,-306.36626427485504
4417,"['vacancy_migration_energy_fcc', 'c44_sc', 'relaxed_formation_potential_energy_fcc']",0.725743224275528,-306.36969339818927
4262,"['relaxation_volume_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7254419546439438,-313.97385396042495
2137,"['ideal_surface_energy_100_fcc', 'c12_sc', 'vacancy_migration_energy_fcc']",0.7253884017650796,-301.80246818594946
2573,"['unrelaxed_formation_potential_energy_fcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.7251742218358543,-300.7345900149451
3744,"['c44_bcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7250041558351825,-303.7706197099511
3345,"['intr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.7249225342131667,-311.5831247391185
2884,"['bulk_modulus_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7247233792191736,-306.3487298319876
4033,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_bcc']",0.7244047646461538,-301.15433493594804
2188,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_bcc']",0.7242804644666192,-303.2904326892228
4406,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'c11_sc']",0.7235414295998701,-314.2814366072979
3579,"['c11_fcc', 'c12_fcc', 'vacancy_migration_energy_fcc']",0.7235005612664674,-308.03089493336444
2460,"['c11_bcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.723252605377008,-309.43315224872924
1086,"['unstable_stack_energy_slip_fraction_fcc', 'c11_fcc', 'vacancy_migration_energy_fcc']",0.7229570817559192,-307.00126752538756
3519,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_bcc']",0.7228362387606411,-310.64109226696723
3516,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.722749767012841,-305.8769421964027
1206,"['unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7227418614276673,-311.37424124034857
3800,"['c44_bcc', 'vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc']",0.7226074603546969,-310.2284307994291
4438,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'lattice_constant_sc']",0.7222923481493811,-313.60745722646664
1744,"['unstable_twinning_energy_slip_fraction_fcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.7218388814459281,-309.6611428915678
4363,"['bulk_modulus_sc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",0.7218259315511297,-310.2178623007121
1884,"['unstable_twinning_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.7217194514343965,-306.902492935151
4196,"['c12_sc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7216067870591822,-310.5971533501377
