,factors,r2_cv_score,rmse_cv_score
1894,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'bulk_modulus_bcc']",0.788341030709619,-240.64138573016353
1923,"['vacancy_migration_energy_fcc', 'bulk_modulus_bcc', 'c11_sc']",0.7880232198791074,-238.13717960231043
1802,"['vacancy_migration_energy_fcc', 'c44_bcc', 'bulk_modulus_bcc']",0.7877361901050652,-231.36138389282328
1768,"['vacancy_migration_energy_fcc', 'c44_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.7875691309747681,-233.44483986106445
1677,"['vacancy_migration_energy_fcc', 'c12_bcc', 'c44_bcc']",0.7874613274029174,-235.56127195949963
87,"['c44_sc', 'vacancy_migration_energy_fcc']",0.7872836142107553,-245.23400163983322
1696,"['vacancy_migration_energy_fcc', 'c12_fcc', 'c44_fcc']",0.7871294077185352,-230.9746747234177
121,"['vacancy_migration_energy_fcc', 'c44_fcc']",0.7870674866704949,-231.72185473104392
1625,"['vacancy_migration_energy_fcc', 'c11_bcc', 'extr_stack_fault_energy_fcc']",0.7868747965558525,-241.35698962958386
529,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'c44_bcc']",0.786567830241576,-236.9901827671899
1676,"['vacancy_migration_energy_fcc', 'c12_bcc', 'lattice_constant_sc']",0.7865668877837928,-239.1029734056712
905,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",0.7860575966628973,-231.48329859930146
1705,"['vacancy_migration_energy_fcc', 'c12_fcc', 'bulk_modulus_fcc']",0.7857747457813208,-231.4451010154192
1792,"['vacancy_migration_energy_fcc', 'c44_bcc', 'surface_energy_100_fcc']",0.7857632771864964,-226.49615829439006
1754,"['vacancy_migration_energy_fcc', 'c44_fcc', 'lattice_constant_sc']",0.785475129293121,-225.74385242792502
1794,"['vacancy_migration_energy_fcc', 'c44_bcc', 'unstable_stack_energy_slip_fraction_fcc']",0.7853742086719961,-240.29304013814436
1902,"['vacancy_migration_energy_fcc', 'relaxation_volume_fcc', 'bulk_modulus_sc']",0.7853471342835877,-241.3735465784348
1654,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'lattice_constant_sc']",0.7846475483802112,-232.32200082464465
1659,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'surface_energy_100_fcc']",0.7845452866099158,-231.73482951276503
138,"['vacancy_migration_energy_fcc', 'bulk_modulus_sc']",0.784466608905189,-241.41244490563255
1682,"['vacancy_migration_energy_fcc', 'c12_bcc', 'intr_stack_fault_energy_fcc']",0.7844353024185291,-250.32036607422367
1895,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'bulk_modulus_sc']",0.783853850347633,-236.0687926592462
1630,"['vacancy_migration_energy_fcc', 'c11_bcc', 'c44_fcc']",0.7837141626898895,-236.00149280754675
1780,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'relaxed_formation_potential_energy_fcc']",0.7836135487075246,-237.6306190609759
1869,"['vacancy_migration_energy_fcc', 'intr_stack_fault_energy_fcc', 'c11_sc']",0.7835670486005273,-233.69088801022164
